datetime,SGI,DNI,SDI,GHI,GDI
2019-11-21 12:00:00,927.5,659.1666666666666,315.5555555555556,927.5,315.5555555555556
2019-11-21 13:00:00,843.0555555555555,637.2222222222222,311.94444444444446,843.0555555555555,311.94444444444446
2019-11-21 14:00:00,716.9444444444445,732.7777777777778,203.61111111111111,716.9444444444445,203.61111111111111
2019-11-21 15:00:00,470.0,493.0555555555556,221.11111111111111,470.0,221.11111111111111
2019-11-21 16:00:00,306.1111111111111,786.1111111111111,56.388888888888886,306.1111111111111,56.388888888888886
2019-11-21 17:00:00,80.55555555555556,420.83333333333337,26.38888888888889,80.55555555555556,26.38888888888889
2019-11-21 18:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-21 19:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-21 20:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-21 21:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-21 22:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-21 23:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-22 00:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-22 01:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-22 02:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-22 03:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-22 04:00:00,36.94444444444444,254.16666666666663,15.27777777777778,36.94444444444444,15.27777777777778
2019-11-22 05:00:00,225.55555555555557,711.1111111111111,48.61111111111112,225.55555555555557,48.61111111111112
2019-11-22 06:00:00,464.72222222222223,888.0555555555555,67.22222222222223,464.72222222222223,67.22222222222223
2019-11-22 07:00:00,701.9444444444445,978.3333333333336,79.16666666666669,701.9444444444445,79.16666666666669
2019-11-22 08:00:00,898.8888888888889,1025.5555555555557,86.94444444444444,898.8888888888889,86.94444444444444
2019-11-22 09:00:00,1043.3333333333333,1051.388888888889,91.94444444444444,1043.3333333333333,91.94444444444444
2019-11-22 10:00:00,1127.7777777777778,1066.9444444444443,94.44444444444444,1127.7777777777778,94.44444444444444
2019-11-22 11:00:00,1138.3333333333333,1067.7777777777778,95.0,1138.3333333333333,95.0
2019-11-22 12:00:00,1080.8333333333333,1058.888888888889,93.05555555555556,1080.8333333333333,93.05555555555556
2019-11-22 13:00:00,959.7222222222222,1041.111111111111,88.88888888888889,959.7222222222222,88.88888888888889
2019-11-22 14:00:00,779.1666666666666,1002.7777777777778,82.22222222222223,779.1666666666666,82.22222222222223
2019-11-22 15:00:00,556.6666666666666,934.7222222222222,72.22222222222223,556.6666666666666,72.22222222222223
2019-11-22 16:00:00,313.8888888888889,803.8888888888889,56.388888888888886,313.8888888888889,56.388888888888886
2019-11-22 17:00:00,85.27777777777777,448.3333333333333,27.5,85.27777777777777,27.5
2019-11-22 18:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-22 19:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-22 20:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-22 21:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-22 22:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-22 23:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-23 00:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-23 01:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-23 02:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-23 03:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-23 04:00:00,36.94444444444444,250.83333333333331,15.555555555555555,36.94444444444444,15.555555555555555
2019-11-23 05:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-23 06:00:00,464.44444444444446,879.4444444444445,67.77777777777777,464.44444444444446,67.77777777777777
2019-11-23 07:00:00,693.0555555555555,963.0555555555557,79.72222222222224,693.0555555555555,79.72222222222224
2019-11-23 08:00:00,886.388888888889,1008.8888888888888,87.5,886.388888888889,87.5
2019-11-23 09:00:00,1030.0,1035.8333333333333,92.5,1030.0,92.5
2019-11-23 10:00:00,1115.5555555555557,1053.3333333333337,94.72222222222224,1115.5555555555557,94.72222222222224
2019-11-23 11:00:00,1126.9444444444446,1055.0,95.27777777777776,1126.9444444444446,95.27777777777776
2019-11-23 12:00:00,1071.388888888889,1046.9444444444443,93.33333333333331,1071.388888888889,93.33333333333331
2019-11-23 13:00:00,953.3333333333334,1031.6666666666667,89.16666666666667,953.3333333333334,89.16666666666667
2019-11-23 14:00:00,774.7222222222222,993.3333333333334,82.5,774.7222222222222,82.5
2019-11-23 15:00:00,554.1666666666666,925.8333333333334,72.5,554.1666666666666,72.5
2019-11-23 16:00:00,314.72222222222223,799.4444444444445,56.66666666666667,314.72222222222223,56.66666666666667
2019-11-23 17:00:00,87.22222222222223,451.3888888888889,28.05555555555556,87.22222222222223,28.05555555555556
2019-11-23 18:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-23 19:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-23 20:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-23 21:00:00,0.0,0.0,0.0,0.0,0.0
2019-11-23 22:00:00,0.0,0.0,0.0,0.0,0.0
